,TMDB ID,Title,Release Date,IMDB ID,Rating,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,IMDB Rating,IMDB Votes,Metascore,Rating Dictionary,Type,DVD Release Date,Box Office,Production
203,637966,Whelm,2019-10-13,tt2306818,N/A,5 min,"Short, Drama",Bria Little,Bria Little,"Jack Sochet, Lyndsi LaRose",N/A,English,USA,N/A,N/A,N/A,N/A,,,movie,N/A,N/A,N/A
204,628478,Beloved Beast,2019-10-11,tt6619250,R,173 min,Horror,Jonathan Holbrook,Jonathan Holbrook,"Tabitha Bastien, Sheila Houlahan, Meredith Binder, Sanae Loutsis",A young girl befriends a dangerous escaped mental patient after the death of her parents.,N/A,USA,N/A,https://m.media-amazon.com/images/M/MV5BYWYwNzcyOGMtMjYxZC00OGY2LThhNzgtYjYxOTQ0NTJmMWU4XkEyXkFqcGdeQXVyMzUzMzYxNTI@._V1_SX300.jpg,4.9,67,,,movie,N/A,N/A,N/A
205,610743,Along Came the Devil 2,2019-10-11,tt9652888,N/A,87 min,"Horror, Thriller",Jason DeVan,"Jason DeVan, Jason DeVan (story by)","Laura Wiggins, Bruce Davison, Mark Ashworth, Kyla Deaver","After receiving an unsettling voicemail, Jordan (Wiggins) returns home, looking for answers, only to find her estranged father and even more questions. A demonic force has attached itself ...",N/A,USA,N/A,https://m.media-amazon.com/images/M/MV5BNzUwYzBlYmEtN2M4ZC00MWIzLWJiM2UtMmUzM2FlNjY4NTFjXkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_SX300.jpg,4.2,256,,,movie,N/A,N/A,N/A
206,504949,The King,2019-10-11,tt7984766,R,140 min,"Biography, Drama, History, Romance, War",David Michôd,"Joel Edgerton, David Michôd","Tom Glynn-Carney, Gábor Czap, Tom Fisher, Edward Ashley","Hal, wayward prince and heir to the English throne, is crowned King Henry V after his tyrannical father dies. Now the young king must navigate palace politics, the war his father left behind, and the emotional strings of his past life.","English, French","UK, Hungary, Australia",4 wins & 13 nominations.,https://m.media-amazon.com/images/M/MV5BMWZkNzNlMzMtMjM5ZS00MWYzLWFmMmUtMjE1ODM3NjBlODA5XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,7.3,"57,752",,,movie,01 Nov 2019,N/A,Netflix
207,559969,El Camino: A Breaking Bad Movie,2019-10-11,tt9243946,TV-MA,122 min,"Action, Drama",Vince Gilligan,"Vince Gilligan, Vince Gilligan (based on ""Breaking Bad"" by)","Aaron Paul, Jonathan Banks, Matt Jones, Charles Baker","El Camino: A Breaking Bad Movie follows fugitive Jesse Pinkman as he runs from his captors, the law and his past.",English,USA,6 nominations.,https://m.media-amazon.com/images/M/MV5BNjk4MzVlM2UtZGM0ZC00M2M1LThkMWEtZjUyN2U2ZTc0NmM5XkEyXkFqcGdeQXVyOTAzMTc2MjA@._V1_SX300.jpg,7.4,"138,741",,,movie,11 Oct 2019,N/A,Netflix
208,492190,The Day Shall Come,2019-10-11,tt7078658,Unrated,87 min,"Comedy, Crime",Christopher Morris,"Jesse Armstrong, Sean Gray (additional material by), Tony Roche (additional material by), Christopher Morris","Andrel McPherson, Miles Robbins, Marchánt Davis, Anna Kendrick",An impoverished preacher who brings hope to the Miami projects is offered cash to save his family from eviction. He has no idea his sponsor works for the FBI who plan to turn him into a criminal by fueling his madcap revolutionary dreams.,English,"UK, USA",N/A,https://m.media-amazon.com/images/M/MV5BZGY1ZDRiZmEtMzY3YS00OWM1LThhOGUtNjAyMjA3YjE3ZTQxXkEyXkFqcGdeQXVyODY3Nzc0OTk@._V1_SX300.jpg,5.8,"1,872",,,movie,27 Sep 2019,N/A,IFC Films
209,620725,Jexi,2019-10-11,tt9354944,R,84 min,Comedy,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore","Adam Devine, Alexandra Shipp, Rose Byrne, Ron Funches",A comedy about what can happen when you love your phone more than anything else in your life.,English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BYWM3OTk0NTItZjBlNi00NGE3LTk4MGQtODdlMWM2OWI5MWE3XkEyXkFqcGdeQXVyMTA2MDQ3MTQ3._V1_SX300.jpg,6.1,"7,778",,,movie,24 Dec 2019,N/A,Lionsgate
210,481084,The Addams Family,2019-10-11,tt0101272,PG-13,99 min,"Comedy, Fantasy",Barry Sonnenfeld,"Charles Addams (characters), Caroline Thompson, Larry Wilson","Anjelica Huston, Raul Julia, Christopher Lloyd, Dan Hedaya",Con artists plan to fleece an eccentric family using an accomplice who claims to be their long-lost uncle.,"English, Italian, French",USA,Nominated for 1 Oscar. Another 5 wins & 20 nominations.,https://m.media-amazon.com/images/M/MV5BODc1NmY0MDUtNjUzNS00ODdhLWJlN2ItMTgwZjczZjI0MDkyXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,6.9,"122,696",,,movie,22 Feb 2000,N/A,Paramount Pictures
212,663052,About Cannabis and Cancer,2019-10-10,tt11107012,N/A,N/A,Documentary,Jeremy Norrie,N/A,N/A,N/A,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZjJkMjgwYWYtNjI5MS00M2E2LTgwOTYtODBiMGFiMTIwY2U1XkEyXkFqcGdeQXVyODc2MjA4Mg@@._V1_SX300.jpg,N/A,N/A,,,movie,N/A,N/A,N/A
213,621949,Metallica & San Francisco Symphony: S&M2,2019-10-09,tt10765852,N/A,150 min,Music,Wayne Isham,N/A,"Kirk Hammett, James Hetfield, Metallica, Robert Trujillo",Metallica and the San Francisco Symphony perform a live concert together at Chase Center in San Francisco.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BYzBhY2NlMTMtNGUyZC00NTdlLTg0NDQtZTU3MWI0OWVkNzIxXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_SX300.jpg,8.8,898,,,movie,N/A,N/A,N/A
214,612502,Mister America,2019-10-09,tt10579992,R,89 min,Comedy,Eric Notarnicola,"Tim Heidecker, Eric Notarnicola, Gregg Turkington","Tim Heidecker, Gregg Turkington, Terri Parks, Curtis Webster","After representing himself and beating a murder charge, a concert promoter runs for the San Bernardino District Attorney's office against the prosecutor of his case.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BODE2MTA3ODItMTU1Ni00ZWNhLTg4N2YtZjEyYWFiYzZlODI3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,6.5,510,,,movie,N/A,N/A,Magnolia Pictures
215,338967,Zombieland: Double Tap,2019-10-18,tt1560220,R,99 min,"Action, Comedy, Horror",Ruben Fleischer,"Dave Callaham (screenplay), Rhett Reese (screenplay), Paul Wernick (screenplay)","Woody Harrelson, Jesse Eisenberg, Emma Stone, Abigail Breslin","Columbus, Tallahassee, Wichita, and Little Rock move to the American heartland as they face off against evolved zombies, fellow survivors, and the growing pains of the snarky makeshift family.","English, Spanish, Italian, Inuktitut","USA, Canada",2 nominations.,https://m.media-amazon.com/images/M/MV5BYjcwNjZhNGYtOGNlNy00NGI3LTlmODMtMGZlMjA3YjA0Njg0XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,6.9,"61,845",,,movie,24 Dec 2019,N/A,Columbia Pictures
218,637666,Play the Flute,2019-10-07,tt6356220,N/A,103 min,N/A,Rich Christiano,Rich Christiano,"Brett Varvel, Sean Ormond, Kennedy Tucker, Ken Ivy","Faced with an indifferent youth group, a new youth Pastor (Brett Varvel) tries to motivate his students to read God's Word and get serious about their faith.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMDNlZTIwZGQtMTQ4NS00NjFlLTgwZWQtNDAxYzhhODEzMTRhXkEyXkFqcGdeQXVyOTI4NDg2ODE@._V1_SX300.jpg,N/A,N/A,,,movie,N/A,N/A,N/A
219,622990,Elvis Unleashed,2019-10-07,tt10764416,N/A,108 min,"Documentary, Music",N/A,N/A,Steve Binder,Documentary about Elvis Presley's famous 1968 TV special.,N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BZDJjNGM5YzgtYzc5MC00MWNiLWFjNDEtYjlhYjlkMmU3N2MwXkEyXkFqcGdeQXVyMzAzMzkzNTU@._V1_SX300.jpg,8.4,7,,,movie,N/A,N/A,N/A
220,628959,Lady Belladonna's Tales From The Inferno,2019-10-05,tt8855888,N/A,93 min,Horror,David Salcido,"Alex Gianopoulos, Kent Harkey, Arturo Portillo, Robert Posey, David Salcido","Tawnya Bass, Donny Prosise, Rafael Medina, Paulina Avila","Lady Belladonna is back with another round of suspenseful tales from Pandora's Box, including a vengeful vampire, a misplaced curse, an alien invasion and more tantalizing trips beyond the veil.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMzg1OGY3ZjItZDk4Ny00OTQxLTlkMDktNzMxMDU4ZjhjNTA5XkEyXkFqcGdeQXVyMjc1MDQ0NDc@._V1_SX300.jpg,5.3,32,,,movie,N/A,N/A,N/A
221,522369,Sorry We Missed You,2020-03-06,tt8359816,N/A,101 min,Drama,Ken Loach,Paul Laverty,"Kris Hitchen, Debbie Honeywood, Rhys Stone, Katie Proctor","Hoping that self-employment through gig economy can solve their financial woes, a hard-up UK delivery driver and his wife struggling to raise a family end up trapped in the vicious circle of this modern-day form of labour exploitation.",English,"UK, France, Belgium",Nominated for 1 BAFTA Film Award. Another 4 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BMDUzYWI5NzMtMjU4Yi00ZWY3LTgyOGYtNjkwOTM3MmM0NzAyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,7.8,"4,549",,,movie,N/A,N/A,Zeitgeist Films
222,515724,Semper Fi,2019-10-04,tt7042838,R,99 min,"Action, Drama",Henry Alex Rubin,"Sean Mullin, Henry Alex Rubin","Leighton Meester, Finn Wittrock, Jai Courtney, Nat Wolff",A police officer who serves in the Marine Corps Reserves is faced with an ethical dilemma when it comes to helping his brother in prison.,English,"UK, USA",N/A,https://m.media-amazon.com/images/M/MV5BODg0MThjNGYtYjVkOC00OGM4LThmZmMtMDJmMmVlNGUyMWQyXkEyXkFqcGdeQXVyMTg1MzY1MQ@@._V1_SX300.jpg,6.1,831,,,movie,04 Oct 2019,N/A,N/A
223,528888,Dolemite Is My Name,2019-10-04,tt8526872,R,118 min,"Biography, Comedy, Drama",Craig Brewer,"Scott Alexander, Larry Karaszewski","Eddie Murphy, Keegan-Michael Key, Mike Epps, Craig Robinson","Eddie Murphy portrays real-life legend Rudy Ray Moore, a comedy and rap pioneer who proved naysayers wrong when his hilarious, obscene, kung-fu fighting alter ego, Dolemite, became a 1970s Blaxploitation phenomenon.",English,USA,Nominated for 2 Golden Globes. Another 17 wins & 54 nominations.,https://m.media-amazon.com/images/M/MV5BMzFiYWQxYzgtOThmYi00ZmIwLWFlZWMtMzk2NTI2YTYzMjkyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,7.3,"31,613",,,movie,25 Oct 2019,N/A,Netflix
224,493066,Low Tide,2019-10-04,tt7434324,R,86 min,"Drama, Thriller",Kevin McMullin,Kevin McMullin,"Jaeden Martell, Keean Johnson, Shea Whigham, Alex Neustaedter","Alan, Red, and Smitty spend high summer on the Jersey Shore roving the boardwalk and getting into trouble. But the discovery of good old fashioned treasure sets the friends on an escalating...",English,USA,2 nominations.,https://m.media-amazon.com/images/M/MV5BMGM0M2Y5MGItNzhiMC00OWJjLTlkMGQtMTVjOGQ4YzliODBhXkEyXkFqcGdeQXVyNDExMzMxNjE@._V1_SX300.jpg,6.2,"1,217",,,movie,05 Sep 2019,N/A,A24
225,619262,Wrinkles the Clown,2019-10-04,tt9097270,N/A,75 min,"Documentary, Comedy, Horror, Mystery",Michael Beach Nichols,"Michael Beach Nichols, Christopher K. Walker","Christopher Barcia, Trevor J. Blank, Andrew Caldwell, George Holden","In Florida, parents can hire Wrinkles the Clown to scare their misbehaving children.",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BZWMxZWMyNzgtMWJhNy00NzM3LTgyMjQtMjU4YTE1ZmRlM2QwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,4.7,340,,,movie,04 Oct 2019,N/A,N/A
226,492613,The Parts You Lose,2019-10-04,tt4827922,N/A,93 min,"Action, Drama, Thriller",Christopher Cantwell,Darren Lemke,"Mary Elizabeth Winstead, Aaron Paul, Scoot McNairy, Kristen Harris",A young boy in a small North Dakota town befriends a potentially dangerous fugitive.,English,Canada,N/A,https://m.media-amazon.com/images/M/MV5BZjViOGU0OGUtNTc3MC00YzBiLThiMGItZjBiODViYjEwMjM1XkEyXkFqcGdeQXVyMjE4NzUxNDA@._V1_SX300.jpg,5.3,692,,,movie,04 Oct 2019,N/A,N/A
227,456646,Wallflower,2019-10-04,tt0040948,N/A,77 min,Comedy,Frederick De Cordova,"Reginald Denham (play), Henry Ephron, Phoebe Ephron, Mary Orr (play)","Robert Hutton, Joyce Reynolds, Janis Paige, Edward Arnold","Joy (Janis Paige) is used to getting male attention, while her step-sister, Jackie (Joyce Reynolds), stands on the sidelines. The pair, who have a strong bond, come home from college and ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZTQ3NjU5NjItMzUzMS00NDBhLTlmYWEtNzU4ODBiOGEzOTFhXkEyXkFqcGdeQXVyMTIxOTk5MzY@._V1_SX300.jpg,6.5,87,,,movie,N/A,N/A,N/A
228,594304,Cuck,2019-10-04,tt8195518,N/A,115 min,"Crime, Drama, Thriller",Rob Lambert,"Rob Lambert, Joe Varkle","Zachary Ray Sherman, Sally Kirkland, Timothy V. Murphy, Monique Parent","When a frustrated loner gains popularity as an Alt-Right vlogger, the online echo chamber turns his fears into a deadly rage.",English,USA,1 win & 2 nominations.,https://m.media-amazon.com/images/M/MV5BYjdkZjQ3NTctY2E0Ni00Njc4LTlmZWItZDlkMmZhNTRiOGQxXkEyXkFqcGdeQXVyMjIwNTg2ODA@._V1_SX300.jpg,6.1,"3,641",,,movie,04 Oct 2019,N/A,Gravitas Ventures
229,627879,Rogue Warfare,2019-10-04,tt5266668,R,103 min,Action,Mike Gunther,Mike Gunther,"Will Yun Lee, Jermaine Love, Rory Markham, Bertrand-Xavier Corbi","A group of the best military personnel from the U.S., Russia, UK, China and France join forces to fight an underground terrorist network.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNzIyYzk1ZjAtMzJiYS00YTYyLTg0MDItMWYzMjM3ZGYyYmQ1XkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_SX300.jpg,2.8,306,,,movie,N/A,N/A,N/A
230,639137,Inside the Rain,2019-10-04,tt11029976,N/A,90 min,"Comedy, Drama, Romance",Aaron Fisher,Aaron Fisher,"Rosie Perez, Eric Roberts, Aaron Fisher, Ellen Toland","Facing expulsion from college over a misunderstanding, a bipolar student indulges his misery at a strip club where he befriends a gorgeous, intelligent, outrageous woman and they hatch a madcap scheme to prove his innocence.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BOWQ0OGE0MDYtNTMwYy00ODRmLTlkZmQtNWVjNmJmODQyZWFlXkEyXkFqcGdeQXVyMjA2OTE4OA@@._V1_SX300.jpg,N/A,N/A,,,movie,N/A,N/A,N/A
231,636919,El Coyote,2019-10-04,tt8820136,R,93 min,Action,Jeffrey Nicholson,"Jeffrey Nicholson, Michael Saquella","Michael Saquella, Robert Costanzo, John Capodice, Kristin Dattilo","The Italian mob descends on the Mexico border, to take on the most powerful cartel in America. Spencer ex mobster in witness protection battles the cartel who captured his son. His mob buddies come to Arizona to help him handle the cartel.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNTBkMGZmNjgtZmUwNC00MmIwLWFmMTgtODEzZjAzY2UyZGZmXkEyXkFqcGdeQXVyNjczNzk2NDQ@._V1_SX300.jpg,5.2,11,,,movie,N/A,N/A,N/A
232,595090,Collisions,2019-10-04,tt8151710,N/A,18 min,"Documentary, Short, Biography",Lynette Wallworth,N/A,"Nyarri Nyarri Morgan, Curtis Taylor, Lynette Wallworth",N/A,English,"Australia, USA",N/A,N/A,N/A,N/A,,,movie,N/A,N/A,N/A
233,346666,Pretenders,2019-10-04,tt0316613,TV-PG,60 min,"Adventure, Comedy, Mystery",N/A,"Damián Szifron, Diego Peretti, Federico D'Elía, Alejandro Fiore, Martín Seefeld","Federico D'Elía, Alejandro Fiore, Diego Peretti, Martín Seefeld","The Pretenders (Los Simuladores) are a specialized Commando group formed by 4 men, who are hired by someone that presents them with a problem and wants a solution. Los Simuladores elaborate...",Spanish,Argentina,6 wins & 4 nominations.,https://m.media-amazon.com/images/M/MV5BMzg3NDE1MmMtYmE0Yi00ZjNlLTgyNDgtZjhhMTQ0NDk3OWQzXkEyXkFqcGdeQXVyMzU1ODUxOTk@._V1_SX300.jpg,9.2,"3,090",,,series,,,
234,537140,Hope Gap,2020-03-06,tt7587876,N/A,100 min,"Drama, Romance",William Nicholson,William Nicholson,"Bill Nighy, Annette Bening, Josh O'Connor, Aiysha Hart",A couple's visit with their son takes a dramatic turn when the father tells him he plans on leaving his mother.,N/A,UK,N/A,https://m.media-amazon.com/images/M/MV5BMTk1ODY2MzMxN15BMl5BanBnXkFtZTgwMjk2MzQxNjM@._V1_SX300.jpg,7.4,72,,,movie,N/A,N/A,Roadside Attractions/Screen Media Films
235,475557,Joker,2019-10-04,tt7286456,R,122 min,"Crime, Drama, Thriller",Todd Phillips,"Todd Phillips, Scott Silver, Bob Kane (based on characters created by), Bill Finger (based on characters created by), Jerry Robinson (based on characters created by)","Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy","In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",English,"Canada, USA",Won 2 Golden Globes. Another 27 wins & 129 nominations.,https://m.media-amazon.com/images/M/MV5BNGVjNWI4ZGUtNzE0MS00YTJmLWE0ZDctN2ZiYTk2YmI3NTYyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,8.6,"593,943",,,movie,17 Dec 2019,N/A,Warner Bros. Pictures
236,496967,Atlantics,2019-11-15,tt10199586,TV-14,106 min,Drama,Mati Diop,"Mati Diop (screenplay by), Olivier Demangel (screenplay by)","Mame Bineta Sane, Amadou Mbow, Traore, Nicole Sougou","In a popular suburb of Dakar, workers on the construction site of a futuristic tower, without pay for months, decide to leave the country by the ocean for a better future. Among them is Souleiman, the lover of Ada, promised to another.","Wolof, French, English","France, Senegal, Belgium",11 wins & 36 nominations.,https://m.media-amazon.com/images/M/MV5BODllOTQ1ZTgtYzIyMC00Yjg2LWJhNGMtNzgxMWM1NmE2ZmMyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,6.8,"2,421",,,movie,29 Nov 2019,N/A,Netflix
237,453405,Gemini Man,2019-10-11,tt1025100,PG-13,117 min,"Action, Drama, Sci-Fi, Thriller",Ang Lee,"David Benioff (screenplay), Billy Ray (screenplay), Darren Lemke (screenplay), Darren Lemke (story), David Benioff (story)","Will Smith, Mary Elizabeth Winstead, Clive Owen, Benedict Wong",An over-the-hill hitman faces off against a younger clone of himself.,"English, French","USA, China",2 nominations.,https://m.media-amazon.com/images/M/MV5BMDM4YTQ5MWYtNWYzZS00YWM4LTljNTctZDc3MWM2MTUzYjQ1XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg,5.7,"41,545",,,movie,23 Dec 2019,N/A,Paramount Pictures
239,645959,Primal: Tales of Savagery,2019-10-01,tt11191124,Not Rated,85 min,"Animation, Action, Adventure, Drama, Fantasy",Genndy Tartakovsky,Genndy Tartakovsky,"Aaron LaPlante, Jon Olson","GENNDY TARTAKOVSKY'S PRIMAL - TALES OF SAVAGERY features a caveman and a dinosaur on the brink of extinction. Bonded by tragedy, this unlikely friendship becomes the only hope of survival.","English, None",USA,N/A,https://m.media-amazon.com/images/M/MV5BZmY1OTZjY2ItM2RiMi00YTE0LWFiMWMtMTgyMzQzYzQ4N2IyXkEyXkFqcGdeQXVyODk2MzQ0OTc@._V1_SX300.jpg,8.6,45,,,movie,N/A,N/A,N/A
240,619926,Her Name Was Christa,2019-10-01,tt7453138,N/A,N/A,Horror,James L. Edwards,James L. Edwards,"James L. Edwards, Drew Fortier, Rick Jermain, Kaylee Williams","Stephen is a socially awkward, middle aged telemarketer and is desperately alone. At the suggestion of a co-worker, he goes out into the night to find a prostitute for ""The Girlfriend ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BOTI5NTc3MTQtYzg1OC00YmFjLTk0YWItNmI0ZWQ1ZmQ2MjkwXkEyXkFqcGdeQXVyMTE4MTk3Nw@@._V1_SX300.jpg,N/A,N/A,,,movie,N/A,N/A,N/A
241,552865,10 Minutes Gone,2019-09-30,tt8809652,R,89 min,"Action, Crime, Mystery, Thriller",Brian A. Miller,"Kelvin Mao, Jeff Jingle","Bruce Willis, Michael Chiklis, Meadow Williams, Kyle Schmid",A crime thriller that centers on a man whose memory has been lost due to a bank heist gone wrong. The character will need to piece together the missing 10 minutes from his memory in order to determine who sabotaged him.,English,"Canada, USA",N/A,https://m.media-amazon.com/images/M/MV5BZDdiYjg2ZDEtMGY4MS00OTNiLWJjYzctNzUyYjk3ZmJkMzRkXkEyXkFqcGdeQXVyOTg4MDYyNw@@._V1_SX300.jpg,3.6,"1,211",,,movie,27 Sep 2019,N/A,Lionsgate
242,491283,Judy,2019-09-27,tt7549996,PG-13,118 min,"Biography, Drama, Romance",Rupert Goold,"Tom Edge (screenplay by), Peter Quilter (based on the stageplay ""End of the Rainbow"" by)","Renée Zellweger, Jessie Buckley, Finn Wittrock, Rufus Sewell",Legendary performer Judy Garland (Renée Zellweger) arrives in London in the winter of 1968 to perform a series of sold-out concerts.,English,UK,Nominated for 2 Oscars. Another 17 wins & 48 nominations.,https://m.media-amazon.com/images/M/MV5BYmE0OTE5NWItMGYyZi00MzUxLWFjN2QtYzBkZGRjZGVmMGFmXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_SX300.jpg,7.0,"13,832",,,movie,10 Dec 2019,N/A,Roadside Attractions/LD Entertainment
243,538227,Extra Ordinary,2019-09-27,tt8233874,R,94 min,"Comedy, Fantasy, Horror","Mike Ahern, Enda Loughman","Mike Ahern, Demian Fox (additional writing by), Maeve Higgins (additional writing by), Enda Loughman","Maeve Higgins, Barry Ward, Will Forte, Claudia O'Doherty","In an Irish town you call Rose, the driving instructor, if you have ghost etc. problems. Martin's deceased wife bothers him, so he calls Rose, who's single. A levitating daughter makes him call again.",English,"Ireland, Belgium",9 wins & 4 nominations.,https://m.media-amazon.com/images/M/MV5BOTZiMzZiNTktZGRkNi00Yzc4LWEyZTYtMTEzOGZjOTFkNWZkXkEyXkFqcGdeQXVyMTI4Mjg4MjA@._V1_SX300.jpg,6.4,"2,073",,,movie,N/A,N/A,Good Deed Entertainment
244,565383,The Death of Dick Long,2019-09-27,tt9356952,R,100 min,"Comedy, Crime, Drama",Daniel Scheinert,Billy Chew,"Michael Abbott Jr., Virginia Newcomb, Andre Hyland, Sarah Baker","Dick died last night, and Zeke and Earl don't want anybody finding out how. That's too bad though, cause news travels fast in small-town Alabama.",English,USA,4 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BOTQ3ZjZhZjAtNWRkNy00NWQ3LWJlMDgtMTExYmY5NTc0MWY2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,6.3,"2,255",,,movie,08 Oct 2019,N/A,A24
245,666321,Boris and the Bomb,2019-09-27,tt6077404,N/A,N/A,Action,David Kronmiller,"David Kronmiller, Jennifer Emily McLean","Molly Hagan, Faran Tahir, T.J. Storm, Pete Gardner",N/A,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BOWUyN2VhZjMtNmI1OC00NjY1LWI5NzYtYjllYzJhYzJjMmVjXkEyXkFqcGdeQXVyMzM1NTgwODQ@._V1_SX300.jpg,N/A,N/A,,,movie,N/A,N/A,N/A
247,659718,Entrenched,2019-09-26,tt8142118,N/A,3 min,"Short, Comedy",Mary Karcz,Libby Ward,"Joy Nicole Fox, Kelly Kula",N/A,English,N/A,N/A,https://m.media-amazon.com/images/M/MV5BZTM1ZGEzZGEtNTgzZi00NTBkLTk1YzMtNGI0MjRiMWM4ZGNhXkEyXkFqcGdeQXVyODUyMDI5MTM@._V1_SX300.jpg,N/A,N/A,,,movie,N/A,N/A,N/A
248,642621,128 Years,2019-09-24,tt11006072,N/A,18 min,"Documentary, Short",Anthony Houhoulis,Anthony Houhoulis,N/A,"128 Years tells the story of the largest mass lynching in United States history, when eleven innocent Italian-Americans were murdered by a mob of thousands in 1891 New Orleans.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNzY4ODhkNjYtYmU1MS00YmEwLWI3OTUtZmVjY2U4NzRkMDk1XkEyXkFqcGdeQXVyNjk5MzY1Mjc@._V1_SX300.jpg,N/A,N/A,,,movie,N/A,N/A,N/A
249,599158,French Touch: Between Men,2019-09-24,tt10887468,N/A,101 min,Drama,"Emma Benestan, Satya Dusaugey, Guillaume Foirest, Chabname Zariab","Emma Benestan, Marion Desseigne-Ravel, Satya Dusaugey, Guillaume Foirest, Julien Guetta, Morgan Simon, Chabname Zariab","Redouane Behache, Bilel Chegrani, Arya Vossoughi","Stories of men facing the precipice of deep change in their lives, and the male figures who took them there. A series of stimulating French shorts.",French,France,N/A,https://m.media-amazon.com/images/M/MV5BMzVhMDc1NGEtYzc1Yy00OTNlLWFhOWYtMmI1ODAzODA0OGQ2XkEyXkFqcGdeQXVyMjY5OTE0MzA@._V1_SX300.jpg,N/A,N/A,,,movie,N/A,N/A,N/A
251,619263,The Wave,2019-09-21,tt1063669,Not Rated,107 min,"Drama, Thriller",Dennis Gansel,"Ron Jones (short story and original protocols), Johnny Dawkins (screenplay ""The Wave""), Ron Birnbach (screenplay ""The Wave""), Dennis Gansel, Peter Thorwarth","Jürgen Vogel, Frederick Lau, Max Riemelt, Jennifer Ulrich",A high school teacher's experiment to demonstrate to his students what life is like under a dictatorship spins horribly out of control when he forms a social unit with a life of its own.,German,Germany,9 wins & 8 nominations.,https://m.media-amazon.com/images/M/MV5BOWQ4YzBjODItM2I4MS00YThlLTlhZTQtOTZkNzhhNDc5YWM4XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,7.6,"97,205",,,movie,N/A,N/A,Constantin Film
252,642627,Something to Say,2019-09-21,tt3677150,N/A,N/A,"Short, Romance",Keith,Katrina Cebreiro,"Nikita Arsenyev, Katrina Cebreiro",N/A,English,USA,N/A,N/A,N/A,N/A,,,movie,N/A,N/A,N/A
253,550156,American Dreamer,2019-09-20,tt0086886,PG,105 min,"Comedy, Crime, Romance, Thriller",Rick Rosenthal,"Ann Biderman (story), David Greenwalt, Jim Kouf","JoBeth Williams, Tom Conti, Giancarlo Giannini, Coral Browne","Frustrated housewife/writer Cathy Palmer ghostwrites a story about Rebecca Ryan, a dashing international spy, and wins a trip to Paris. While there, she is involved in an accident, and ...",English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BMDQyMDZjMmMtZDJkMC00NjhjLWFjYmQtNTE1MmYzOTNiMWY4XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,6.6,"1,348",,,movie,03 May 2005,N/A,Twentieth Century Fox Home Entertainment
